"the location 😂" "304"
"Ningning❤" "19"
"هاذو خير من مامبا 🙂" "0"
"Oh my god....karina🦋" "1"
"카리나 눈나 나랑 사귀자제발" "2"
"Beautiful 💘💘💘💘💘" "4"
"The outfit of Karina so beautiful" "0"
"❤️😍" "12"
"Karina is so perfect" "9"
"Winter😍😍😍" "27"
"GISELLE NO BANGSSS" "2"
"Location ~ KWANGYA, undetected from google maps" "3"
"💜" "5"
"Karina 😍😍😍" "25"
"Ningning❤" "3"
"LOVE Karina！" "1"
"That's what i noticed too." "3"
"Yeah. Without the camera works, the choreo looks so dull" "3"
"what's wrong with it?" "4"
"nothing. it made me happy actually^^ calm down pls 😭" "13"
" @cchlattetae  the location said: Kwangya =)))" "22"
"oh sorry, I thought you meant it in a bad way lmao" "5"
"​ @cchlattetae  no worries lol" "5"
"LMAO,😂😂 Kwangya😂😂" "5"
"😆 it took me like 1 whole minute to understand haha" "5"
"What’s wrong with the location🧐🤨" "0"
" @Kayla Kayla   teori" "0"
"I still don’t get it but thx" "0"
"You are Right 👍👍👍" "2"
"is there a video of aespa at the dream concert?" "12"
"I love aespa anyeong" "1"
"Their clothes tend to not  match their music and concept. They need to stop." "1"
"i am not saying they are similar or what but aespa really give Blackpink's vibe. i know Aespa os Aespa and Blackpink is Blackpink but i dont know 4 girls with top visual but not really rely on that because each one is soo talented. also i like to point out how Blackpink and Aespa have similar height which make them in one group looks so nice. ahh what i am saying is both are soo good." "6"
"K OSMO, WANGYA" "4"
"여기 에스파 팬들 많겠지마는; 나도 여자라도 예뻐서 들어온거지만ㅋ 댄스 솔로 시작부분은 좀 임팩트가 약했다봄 ㅋㅋ만약 현아나 청아가 저기서 췄다면? 어땠을지ㅋ 생각해보면 느껴짐" "0"
"Where's the crowd" "0"
"Menos onda le ponen jsjsjs
Así serían las nuevas blackpink? Xd" "0"
"Phép thuật winxx" "0"
"Stupid cameraman.." "2"
"Karinaaaa 😍😍😍" "16"
"Might the stylist not understand their model shapes and the stage background. The designs do not work well on the girls except Karina. Her body is in the best shape and white dress helps her a lot, other members arenot that lucky. Too colorful background, dancers in black and Aespa cant take the spotlight. Hope the stylist makes it better next time" "3"
"They are not singing live, when it is the part of Whinter it is much more noticeable" "9"
"WINX CLUB" "1"
"Wineer is secret number not aespa flop" "2"
"Does anyone have a presentation where they think they are singing live? Because of all I can not find any." "1"
"Karina" "1"
"Off mic" "0"
"Aespa flop" "2"
"Flip" "1"
"Not for me. Aespa having more creativity from their concept.. they give so much effort for concept..." "15"
" @Khusus YT  yeah thts what fourth gen gotta do btw. U know sm style and yg are different. Yg never playing with that concept theory and sm yeah. Since exo thou. So yeah their concept is different but both group slay with their own identity" "3"
"Both groups are great. But they don't have the same vibe, concept-wise and vocal-wise. 

Blackpink's badass concepts give off the obvious, somewhat chaotic vibe reminiscent of their seniors Big Bang and 2ne1. Aespa has more versatile concepts, and even their badass concepts exude seamless elegance (another classic SM trademark no matter the concept is for any SM artist/group). 

Aespa is a vocal powerhouse. (Consistent great quality of singing is personally my top priority when stanning a kpop artist or group.)

Even the rapping, Blackpink has the classic strong, in-your-face quality while Aespa's rapping is more of the subdued type, but the flow is remarkable nonetheless. 

Blackpink is already a senior group while Aespa is still a rookie group so comparing them is somewhat unfair lol but yeah, they are both amazing." "12"
"Hope they will be popular like bp" "2"
"It's so irrelevant tho" "2"
" @expelled from mars  yea but its weird that they’re trynna make them sound live💀" "0"
" @britt  bruh, it's pre-recorded what do expect?" "0"
"Barbie?" "0"
"did sn get number one on melon ?" "9"
"Did SN get a good on digital more than aespa ? Its no obviously, you cant win if you just handle by voting ." "1"
"Flop tu vieja" "0"
" @skz world domination  flop." "0"
" @ZigDug  decís flop a las best rokies JANDJSNSJJSJS STUPID" "0"
" @skz world domination  AESPA flop ew" "0"
"Why boy bands better then girls" "2"
"Huh" "4"
"Because you're a girl, it's natural to like boy groups" "23"
"who said that?" "10"
"What boyband you mean compare to aespa? All boyband or you have one biased? Tell me ⚠️" "6"
" @Irene Irene  I mean they dance so bad, Taemin's shows amazing" "1"
"U BLIND~" "3"
" @Kattyy707  beda lah cok koreo girl sama boy, cobak kau split bisa gak? dance dikit aja encok kau babi." "0"
"Bc they are boys" "0"
" @Nahid Ibrahimi  no, u r wrong coz this girls cant dance, children dance better🤣🤣🤣 Taemin dance godest" "1"
"Cuz ur misogynistic" "1"
